phrase,token_length,n_prompts,elm_average_score,elm_percentile,elm_percentile_bin,linear_average_score,linear_percentile,linear_percentile_bin
building,3,371,956.990040740556,0.652258765335117,2,1752.79416987581,0.599964404730489,2
wedding dress,4,132,956.776630054821,0.651823030139374,2,1807.1531048399,0.683060947693365,2
romantic,3,77,956.440274325284,0.651166358788042,2,1779.56964586927,0.642150936216959,2
tyndall effect,6,97,956.404591353898,0.651123398980011,2,1720.97505738563,0.547080881044292,2
wlop,4,118,956.274784411414,0.65083495455466,2,1740.89364417125,0.580466788999834,2
mini skirt,4,79,956.172187515452,0.650638566860804,2,1743.69316777097,0.584775044033803,2
(full body:1.2),10,262,956.071010676959,0.650429904936082,2,1771.31981000827,0.629563712463868,2
tanned skin,5,93,955.879542525097,0.650055540894669,2,1791.15524981099,0.659666263662753,2
monster,3,146,955.7231125505,0.649828467623648,2,1834.93615806266,0.71982226913706,2
micro bikini,4,127,955.149156465305,0.648693101268542,2,1756.80187940222,0.606475884204906,2
4k textures,5,125,954.870378173828,0.648189857803035,2,1763.47175634766,0.617449046599118,2
isometric,4,73,954.777387227098,0.647956647416581,2,1768.60365776167,0.625378199738559,2
butt,3,51,954.617625517004,0.647588420490601,2,1799.03854549632,0.671130395291605,2
armor,3,674,954.593747622889,0.647533186451704,2,1826.7297962766,0.709468955401582,2
professional color grading,5,96,954.165860176086,0.646753772791712,2,1736.70540555318,0.573537985675973,2
slingshot swimsuit,5,69,954.070436781731,0.646569659328722,2,1927.86701589391,0.819028740111573,3
vines,3,68,953.975899191464,0.646336448942268,2,1735.59338199391,0.571702988161504,2
hips,3,62,953.974186066658,0.646330311826835,2,1753.3954664661,0.60105067416213,2
petra cortright,5,148,953.892095617346,0.64617688394101,2,1633.30547600823,0.395009297729881,1
poolside,3,57,953.887239155017,0.646164609710144,2,1737.71164208128,0.575078401649657,2
dystopian,3,68,953.443351745606,0.645299276434091,2,1808.43505141314,0.684846848284369,2
alternate costume,4,62,953.442787908739,0.645293139318657,2,1787.01899965348,0.653338897651326,2
dappled sunlight,5,88,953.250422391025,0.644961735085275,2,1770.05849872936,0.627501641678378,2
greg rutkowski,5,138,953.041090813236,0.644618056621027,2,1780.97031391531,0.644323475080243,2
green skirt,4,68,952.948959350586,0.644458491619769,2,1809.19316190832,0.685712181560423,2
cinematic lighting,4,3644,952.933208059401,0.644446217388903,2,1810.31878709008,0.687344654265602,2
white skirt,4,158,952.622730689713,0.643912288346232,2,1704.38569351389,0.518469648895626,2
sidelocks,4,422,952.48087249322,0.643709763536942,2,1790.01883758979,0.657898774418048,2
very detailed background,5,88,952.463388963179,0.643691352190643,2,1833.32824568315,0.717938174699128,2
shirt lift,4,84,952.379645937965,0.643476553150488,2,1778.4682660784,0.640469366588316,2
4k wallpaper,5,80,952.370494842529,0.643445867573323,2,1796.41270751953,0.667570868340463,2
